Invoice;Quantity;Product;PurchasePrice (Unit);TotalAmount
FFCC141656;18031;MP02853;0.1712968172383352;3088.65
FFCC141672;915;MP019602;2.451214957596396;2242.86
FFCC141673;1617;MP019602;2.451214957596396;3963.61
FFCC141674;985;MP07032;0.2255956672732523;222.21
FFCC141676;3288;MP02522;0.48;1578.24
FFCC141676;3145;MP025123;1.1081825342051494;3485.23
FFCC141676;1089;MP025119;1.3970584848555432;1521.4
FFCC141676;1115;MP025104;0.9992981812557868;1114.22
FFCC141676;6065;MP02532;0.9434890340233926;5722.26
FFCC141676;3000;MP02519;0.6754244298178074;2026.27
FFCC141676;2274;MP02519;0.6754244298178074;1535.92
FFCC141676;2862;MP02544;1.0701907429988682;3062.89
FFCC141676;684;MP02574;0.642;439.13
FFCC141676;1892;MP025233;0.8485004893262844;1605.36
FFCC141676;485;MP025435;0.726928424922658;352.56
FFCC141676;931;MP025459;1.8823603792085757;1752.48
FFCC141676;2160;MP02536;0.4499999999999999;972.0
FFCC141676;3157;MP02590;2.0378437060081045;6433.47
FFCC141676;1340;MP02542;0.5934855164156008;795.27
FFCC141676;180;MP025287;0.702;126.36
FFCC141676;1140;MP02573;0.672;766.08
FFCC141676;2067;MP025188;1.869220419737222;3863.68
FFCC141676;847;MP025378;1.7786544699735858;1506.52
FFCC141676;2063;MP02577;1.0520603251520737;2170.4
FFCC141676;1032;MP025138;0.6;619.2
FFCC141676;3960;MP025279;2.0173831514172296;7988.84
FFCC141676;600;MP025265;1.3139999999999998;788.4
FFCC141676;1068;MP025260;0.432;461.38
FFCC141676;368;MP025433;0.6613736676049498;243.39
FFCC141676;3208;MP02566;1.419461990179001;4553.63
FFCC141676;1696;MP025320;1.4383969420394938;2439.52
FFCC141676;662;MP025269;0.7232412843588719;478.79
FFCC141676;7060;MP02595;1.6914087953120287;11941.35
FFCC141676;621;MP025390;0.9755952345796108;605.84
FFCC141676;624;MP025316;0.738;460.51
FFCC141676;721;MP025405;1.4677122647661678;1058.22
FFCC141676;391;MP02586;0.7348003294482404;287.31
FFCC141676;419;MP025452;0.9386073224187012;393.28
FFCC141676;4821;MP02581;1.7320487946697511;8350.21
FFCC141676;2139;MP025441;1.6075074308066877;3438.46
FFCC141676;5999;MP025229;1.3249824611017544;7948.57
FFCC141676;264;MP025449;0.72;190.08
FFCC141676;120;MP02573;0.672;80.64
FFCC141680;1551;MP024128;0.1892557419237465;293.54
FFCC141680;1200;MP02201;0.12054;144.65
FFCC141681;124;P9178;0.4325603279265935;53.64
FFCC141681;159;P9295T;1.447153696772242;230.1
FFCC141681;240;P9300T;1.4666997127548926;352.01
FFCC141681;60;P9371;0.6839999999999999;41.04
FFCC141681;155;P9824;1.485653016378783;230.28
FFCC141681;149;P9825;1.664993763024108;248.08
FFCC141681;224;P9833;0.951702110276726;213.18
FFCC141681;108;P9834;1.1199510286351615;120.95
FFCC141681;60;P9370;0.438;26.28
FFCC141681;299;P9218;2.0926019196366017;625.69
FFCC141681;96;P9362;1.032;99.07
FFCC141681;240;P9157T;1.122;269.28
FFCC141681;88;P9387;0.9575086475823892;84.26
FFCC141681;67;P9487T;1.7050444064058627;114.24
FFCC141681;198;P9333;1.7259529303651542;341.74
FFCC141681;60;P9382;0.594;35.64
FFCC141681;131;P9315;0.7732796458729242;101.3
FFCC141681;80;P9325;1.0628551558465895;85.03
FFCC141681;48;P9342T;1.571966396582686;75.45
FFCC141681;180;P9387;0.9575086475823892;172.35
FFCC141681;85;P9343T;1.863246835572328;158.38
FFCC141681;120;P98192T;0.63;75.6
FFCC141681;70;P9809;0.6278623961544022;43.95
FFCC141681;317;P98156T;1.4596712079617895;462.72
FFCC141681;167;P9183;1.515652355543305;253.11
FFCC141681;103;P9341T;2.143255913314021;220.76
FFCC141681;188;P9195;1.3380136436523058;251.55
FFCC141681;60;P9174;0.624;37.44
FFCC141681;3;P9378T;1.3467665636245152;4.04
FFCC141681;125;P9849;0.5496783588635716;68.71
FFCC141681;174;P9300T;1.4666997127548926;255.21
FFCC141681;124;P98101;1.2896100767669836;159.91
FFCC141682;46;P9325;1.0628551558465895;48.89
FFCC141682;31;P9378T;1.3467665636245152;41.75
FFCC141685;11074;P4089;0.102022817745679;1129.8
FFCC141685;1411;P4162;0.0733894424762114;103.55
FFCC141685;896;P4174;0.0991701434880284;88.86
FFCC141685;720;P4193;0.073596;52.99
FFCC141685;2172;P4207;0.1111040982177746;241.32
FFCC141685;3694;P4220;0.214164211765303;791.12
FFCC141685;3021;P4229;0.1012064378787351;305.74
FFCC141685;6532;P4230;0.1708322805147519;1115.88
